Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
0.17648289499993552,1,2,0,0.01097560975609756,0.019878048780487805,1.0035365853658536
0.35318758299990805,1,0,-1,0.011280487804878048,0.02030487804878049,1.010121951219512
0.5297675330000402,2,0,-1,0.011646341463414634,0.019878048780487805,1.0102439024390244
0.7063275010000325,2,0,0,0.010670731707317074,0.020060975609756098,1.0103658536585365
0.8827437489999284,1,-1,0,0.011829268292682927,0.021219512195121953,1.0110975609756097
1.0592772390000391,2,-1,0,0.01097560975609756,0.019939024390243903,1.0115853658536584
1.2359719290000157,2,2,0,0.010426829268292684,0.020365853658536586,1.0121341463414635
1.412580602999924,2,0,0,0.012439024390243903,0.021524390243902437,1.0136585365853659
1.5891528699999071,1,2,-1,0.01176829268292683,0.021219512195121953,1.0128658536585367
1.7658049130000109,2,2,1,0.011707317073170732,0.020914634146341465,1.0129268292682927
1.942461160999983,1,0,-2,0.01121951219512195,0.020365853658536586,1.0127439024390243
2.1188634509999247,1,0,0,0.011463414634146341,0.020670731707317074,1.0118292682926828
2.295432331000029,2,0,-1,0.011463414634146341,0.02024390243902439,1.0129878048780487
2.4719795999999405,2,0,0,0.011524390243902439,0.021402439024390246,1.0132926829268292
2.6485261660000106,2,1,-1,0.010426829268292684,0.020060975609756098,1.0119512195121951
2.825083102000008,0,1,2,0.009207317073170731,0.020609756097560977,1.0118292682926828
3.0016519839998637,0,0,0,0.010853658536585365,0.021829268292682925,1.0125
3.178233513999885,1,1,-1,0.01201219512195122,0.019817073170731708,1.0127439024390243
3.35472995300006,2,2,-1,0.011036585365853658,0.019634146341463415,1.012560975609756
3.5314284999999472,-5,2,1,0.012317073170731708,0.02030487804878049,1.0127439024390243
3.707939475999865,8,-1,-3,0.010365853658536586,0.02079268292682927,1.012439024390244
3.8966107910000574,15,-1,-4,0.013170731707317073,0.023353658536585366,1.0142073170731707
4.113080258999844,5,-4,-15,0.010487804878048781,0.02024390243902439,1.0121951219512195
4.335241872999859,0,-1,1,0.01225609756097561,0.023414634146341463,1.0109756097560976
